TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA,MINUTE, HIT_CUT, CENTER, RAW_FILE, MASKED_FILE, MASK_PIXEL_FILE, OUTPUT_DIRECTORY
L1F2X, 1, 2, 1, 0.97, 140, 160, 530 298, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL1F2X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL1F2X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL1F2X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL1F2X
L1F3X, 1, 3, 1, 4.6, 28, 160, 522 303, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL1F3X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL1F3X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL1F3X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL1F3X
L1F4X, 1, 4, 1, 10.5, 12, 160, 523 300, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL1F4X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL1F4X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL1F4X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL1F4X
L1F7X, 1, 7 , 1, 36, 10, 160, 523 310, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL1F7X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL1F7X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL1F7X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL1F7X
L1REFX, 1, 11, 1, 0, 10, 160, 530 300, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL1REFX.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL1REFX.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL1REFX.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL1REFX
L3F2X, 3, 2, 3, 1.09, 194, 160, 527 315, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL3F2X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL3F2X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL3F2X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL3F2X
L3F3X, 3, 3, 3, 5.5, 25, 160, 540 312, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL3F3X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL3F3X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL3F3X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL3F3X
L3F4X, 3, 4, 3, 10.4, 11, 160, 565 320, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL3F4X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL3F4X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL3F4X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL3F4X
L3F7X, 3, 7 , 3, 34.9, 8, 160, 565 320, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL3F7X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL3F7X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL3F7X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL3F7X
L3REFX, 3, 11, 3, 0, 10, 160, 538 279, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL3REFX.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL3REFX.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL3REFX.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL3REFX
L7F2X, 7, 2, 7, 0.62, 970, 160, 541 295, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL7F2X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL7F2X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL7F2X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL7F2X
L7F3X, 7, 3, 7, 6.1, 61, 160, 539 310, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL7F3X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL7F3X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL7F3X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL7F3X
L7F4X, 7, 4, 7, 10.3, 20, 160, 545 318, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL7F4X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL7F4X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL7F4X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL7F4X
L7F7X, 7, 7 , 7, 34.6, 19, 160, 545 318, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL7F7X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL7F7X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL7F7X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL7F7X
L7REFX, 7, 11, 7, 0, 10, 160, 545 305, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL7REFX.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL7REFX.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL7REFX.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL7REFX
L20F2X, 20, 2, 20, 1.17, 1510, 160, 530 290, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL20F2X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL20F2X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL20F2X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL20F2X
L20F3X, 20, 3, 20, 6.33, 540, 160, 536 306, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL20F3X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL20F3X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL20F3X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL20F3X
L20F4X, 20, 4, 20, 9.4, 60, 160, 544 315, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL20F4X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL20F4X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL20F4X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL20F4X
L20F7X, 20, 7 , 20, 35.5, 91, 160, 544 315, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL20F7X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL20F7X.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL20F7X.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL20F7X
L20REFX, 20, 11, 20, 0, 10, 160, 544 305, /mnt/homes/ychoi/entry_test/EXPERIMENT/RAW/EL20REFX.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/PREMASK/EL20REFX.root, /mnt/homes/ychoi/entry_test/EXPERIMENT/MASK_PIXEL/EL20REFX.txt, /mnt/homes/ychoi/entry_test/EXPERIMENT/ANALYSIS/EL20REFX
