LENGTH, PHI, AREA, AREA_ERROR, RATIO, RATIO_LOW, RATIO_HIGH, DATA, DATA_ERROR
7, 2, 0.9, 0.2, 0.005227, 0.003123, 0.007868, 39.8, 0.6
7, 3, 7.9, 1.3, 0.0518390, 0.0468413, 0.0572488, 2253, 19
7, 4, 10.6, 0.6, 0.0775060, 0.0695666, 0.0858132, 6290, 60
7, 7, 37.3, 1.6, 0.1579249, 0.1579249, 0.1579249, 38710, 140
20, 2, 1.6, 0.3, 0.003049, 0.001929, 0.004412, 10.5, 0.3
20, 3, 6.8, 0.8, 0.0173608, 0.0159223, 0.0188705, 196.3, 1.9
20, 4, 11.5, 0.7, 0.0258137, 0.0231623, 0.0285735, 768, 11
20, 7, 35.5, 1.1, 0.0524043, 0.0524043, 0.0524043, 5260, 20
