TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, MINUTE, HIT_CUT, CENTER, ROI, ROI_THETA, RAW_FILE, MASKED_FILE, MASK_PIXEL_FILE, OUTPUT_DIRECTORY
L20F3X, 20, 3, 20, 6.33, 540, 160, 537 303.4, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20F3X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20F3X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20F3X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20F3X
L20F4O, 20, 4, 20, 9.4, 60, 160, 544.2 312.4, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20F4O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20F4O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20F4O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20F4O
L20F4X, 20, 4, 20, 9.4, 60, 50, 544.2 312.4, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20F4X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20F4X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20F4X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20F4X
L20REFO, 20, 11, 20, 0, 10, 160,  501.9 306.8, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO
L20REFO_D0, 20, 11, 20, 0, 10, 160, 501.9 306.8, 150 10, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO
L20REFO_D45, 20, 11, 20, 0, 10, 160, 501.9 306.8, 150 10, 45, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO
L20REFO_D90, 20, 11, 20, 0, 10, 160, 501.9 306.8, 150 10, 90, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO
L20REFO_D135, 20, 11, 20, 0, 10, 160, 501.9 306.8, 150 10, 135, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO
L20REFX, 20, 11, 20, 0, 10, 160, 501.9 306.8, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX
L20REFX_D0, 20, 11, 20, 0, 10, 160, 501.9 306.8, 150 10, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX
