length, width, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61
7, 2, 145, 105, 25, 11.1, 2.12, 3.05, 6.62, 4.39, 3.18, 2.01, 2.8, 3.32, 2.79, 5.11, 4.17, 4.74, 3.35, 4.21, 4.07, 7.27, 5.44, 5.88, 7.77, 15, 9.85, 8.54, 7.01, 5.57, 3.55, 1.96, 0.701, 0.186, 0.0206, 0, -0.0206, 0, -0.0103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0103, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 3, 1.08e+03, 622, 603, 301, 110, 144, 291, 285, 221, 154, 152, 186, 170, 240, 239, 247, 208, 218, 219, 317, 295, 321, 361, 652, 603, 526, 418, 399, 299, 212, 102, 37.5, 2.62, 1.48, 0.656, 0, 0, 0.328, 0.164, 0.164, 0, 0.164, 0.328, 0.164, 0, 0, 0.164, 0, 0.164, 0.164, 0, 0.164, 0.164, 0.164, 0, 0, 0.164, 0, 0, 0.164, 0
7, 4, 1.87e+03, 1.12e+03, 1.17e+03, 726, 268, 374, 672, 820, 734, 450, 400, 490, 469, 651, 624, 724, 576, 575, 594, 843, 902, 978, 994, 1.64e+03, 1.67e+03, 1.66e+03, 1.18e+03, 1.07e+03, 802, 620, 310, 128, 10, 2.5, 1, 0, 0.5, 1, 1.5, 0.5, 1, 1.5, 1.5, 0, 0, 0, 1, 0, 1, 0.5, 0.5, 1.5, 1, 1, 0, 0.5, 0, 0, 0, 1, 0
7, 7, 8.6e+03, 4.88e+03, 4.37e+03, 5.4e+03, 1.62e+03, 1.73e+03, 1.95e+03, 3.57e+03, 5.75e+03, 3.45e+03, 2.11e+03, 2.37e+03, 2.8e+03, 3.29e+03, 3.06e+03, 4.81e+03, 3.72e+03, 4.16e+03, 3.19e+03, 4.2e+03, 5.12e+03, 6.99e+03, 5.41e+03, 6.8e+03, 9.08e+03, 1.23e+04, 7.01e+03, 6.24e+03, 4.84e+03, 3.71e+03, 2.06e+03, 1.12e+03, 36.3, 14.7, 7.89, 10, 11.6, 14.7, 10, 11.6, 10, 11.1, 6.32, 10, 9.47, 10, 8.42, 12.6, 6.32, 12.1, 5.79, 5.26, 7.37, 6.84, 4.74, 2.11, 3.16, 1.58, 0, 0, 0
7, 11, 5.19e+04, 1.29e+04, 9.16e+03, 1.51e+04, 6.01e+03, 6.08e+03, 6.29e+03, 8.3e+03, 1.39e+04, 9.2e+03, 5.3e+03, 5.87e+03, 7.14e+03, 9.67e+03, 7.93e+03, 1.46e+04, 9.92e+03, 1.31e+04, 9.08e+03, 1.24e+04, 1.34e+04, 2.15e+04, 1.38e+04, 1.74e+04, 2.09e+04, 3.13e+04, 1.79e+04, 1.59e+04, 1.32e+04, 1.14e+04, 7.33e+03, 5.5e+03, 257, 90, 23, 24, 29, 15, 9, 15, 23, 19, 29, 14, 25, 30, 17, 8, 22, 17, 9, 10, 14, 10, 8, 4, 5, 2, 5, 2, 0
20, 2, 114, 58.7, 12.2, 1.17, 0.675, 1.25, 2.62, 1.39, 0.556, 0.444, 0.788, 1.06, 0.669, 1.26, 1.19, 1.4, 0.834, 1.14, 1.13, 1.87, 1.42, 1.59, 2.13, 4.57, 2.88, 2.45, 2.04, 1.89, 1.01, 0.728, 0.106, 0.0199, -0.0132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.00662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 3, 1.69e+03, 169, 183, 69.3, 14.7, 17.7, 23.7, 27.4, 22.4, 14, 11.8, 13.6, 14.7, 18.4, 21.2, 21.4, 21.1, 18.4, 19.4, 24.7, 29.3, 27.6, 31.1, 49.6, 58.1, 51, 40.4, 36.5, 29.4, 23.2, 13.5, 5.22, 0.482, 0.204, 0.0185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 4, -804, 193, 7.17, 29.3, 32.8, 41.8, 121, 94, 58.8, 50, 45.5, 66.8, 55.8, 100, 79.8, 88.5, 62.5, 82, 77.5, 124, 89, 112, 136, 272, 197, 180, 156, 149, 90.8, 79, 23.7, 5.67, 0.667, 0.333, 0, 0, -0.167, 0, 0.167, 0.167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 7, 1.03e+03, 832, 639, 443, 204, 289, 662, 678, 546, 374, 343, 407, 379, 564, 533, 600, 482, 519, 516, 782, 742, 836, 929, 1.62e+03, 1.48e+03, 1.32e+03, 976, 839, 580, 382, 149, 55.3, 1.43, 0.659, 0.659, 0.22, 0.44, 0.22, 0.33, 0.22, 0.22, 0.11, 0.33, 0.33, 0.22, 0.11, 0.769, 0.44, 0.44, 0.22, 0.44, 0.11, 0, 0.22, 0, 0.11, 0, 0, 0, 0, 0
20, 11, 3.8e+03, 3.23e+03, 3.03e+03, 4.06e+03, 1.42e+03, 1.33e+03, 1.36e+03, 3.2e+03, 5.54e+03, 3.08e+03, 2.05e+03, 2.1e+03, 2.5e+03, 2.76e+03, 2.85e+03, 4.33e+03, 3.34e+03, 3.34e+03, 2.57e+03, 3.37e+03, 4.09e+03, 5.29e+03, 4.21e+03, 5.48e+03, 7.95e+03, 1.09e+04, 7.02e+03, 6.65e+03, 6.28e+03, 5.55e+03, 3.8e+03, 2.4e+03, 90, 23, 4, 1, 1, 2, 2, 3, 0, 2, 1, 1, 5, 2, 2, 1, 1, 1, 3, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0
